Year,Distance,Engine_capacity(cm3),km_year
2014,150000,2000,18750
2004,10010,2000,556
1996,86235,1900,3316
2008,200000,1600,14285
2005,230000,2555,13529
2014,82000,2000,10250
2012,180280,2000,18028
2011,147000,3000,13363
2005,136000,2000,8000
2012,142500,1600,14250
2014,185284,2000,23160
2018,121700,1500,30425
2004,75000,1300,4166
2010,165000,2400,13750
2005,289000,1600,17000
2006,159000,1600,9937
2010,189566,2000,15797
2002,210000,2900,10500
2004,160000,2200,8888
2017,115000,1500,23000
2013,157126,1800,17458
2004,45323,1500,2517
2011,226000,1500,20545
2015,137806,1798,19686
2013,210000,1500,23333
2002,277400,1600,13870
2005,300000,1400,17647
2010,95000,2400,7916
2016,67000,1600,11166
2014,130000,2700,16250
2013,240000,2000,26666
2003,180000,3000,9473
2014,138000,2000,17250
2013,171000,2000,19000
2018,93600,1496,23400
2015,171000,1500,24428
2007,199000,3000,13266
2008,280000,1400,20000
2012,152536,1300,15253
2014,180000,1600,22500
2006,261000,1997,16312
2010,55000,2000,4583
2006,199599,2400,12474
1997,2900,2000,116
2015,158000,1500,22571
2002,203433,1900,10171
2012,90419,1500,9041
2009,190000,1400,14615
2000,30000,1600,1363
2013,206000,1500,22888
2015,160000,1800,22857
2014,160000,2197,20000
2013,82000,2000,9111
2009,191200,2500,14707
2015,124000,2199,17714
2006,262550,1900,16409
1995,422222,2000,15637
2009,226000,1800,17384
2012,160000,1500,16000
2000,308000,1300,14000
2012,220121,1300,22012
1996,355000,2000,13653
2012,210000,2200,21000
2013,173400,1461,19266
1995,270473,1800,10017
2015,83853,2000,11979
2015,74754,2000,10679
2012,132000,1500,13200
2008,390000,2200,27857
2012,164750,1800,16475
2009,175000,1500,13461
2010,190000,1800,15833
2003,232000,1200,12210
2010,300000,1500,25000
2012,234000,1489,23400
2010,200000,1400,16666
2015,88000,2000,12571
2004,245000,1800,13611
2016,184500,1500,30750
2011,200000,2000,18181
2005,220000,1300,12941
1999,224000,2400,9739
2008,170000,1200,12142
2019,26000,2000,8666
2016,207737,1798,34622
2013,153000,1500,17000
2007,252000,2000,16800
2018,25000,2200,6250
2002,195000,3200,9750
2006,196186,1600,12261
1991,198700,1400,6409
2008,310000,1300,22142
2015,112300,1400,16042
2003,134000,2000,7052
2012,130000,1400,13000
2017,151000,1995,30200
2005,289820,2000,17048
2000,100000,1900,4545
1999,341000,2500,14826
2016,132000,1300,22000
2007,290000,3311,19333
2016,124249,1500,20708
2012,146000,3000,14600
2002,265000,2000,13250
2018,108700,1500,27175
2012,21000,1400,2100
1999,250000,1900,10869
2012,174133,1248,17413
2013,185000,1400,20555
2003,201000,1800,10578
2016,51000,1999,8500
2021,2500,1500,2500
1988,200000,1800,5882
1998,268000,2000,11166
2015,158000,2000,22571
2010,179000,1400,14916
2015,115000,2449,16428
2009,150000,1400,11538
2012,229000,2200,22900
2014,167000,2200,20875
1993,55866,1600,1926
2012,74000,1800,7400
1997,198000,2000,7920
2000,232800,1900,10581
2008,245171,2200,17512
1994,379000,1900,13535
2015,201300,2000,28757
2002,132000,4200,6600
2008,70000,1400,5000
1999,430000,2300,18695
2001,28400,2500,1352
2019,44000,1460,14666
2011,174230,1400,15839
2012,141000,1986,14100
2005,240000,3000,14117
2011,172323,1400,15665
2017,49000,1500,9800
2012,125000,1500,12500
1994,263485,1400,9410
2003,167000,1800,8789
1992,450000,1900,15000
2016,197214,1500,32869
2004,330000,2993,18333
2003,125000,2000,6578
1994,46000,2000,1642
2008,190000,1500,13571
1995,220132,1800,8153
2011,45000,2000,4090
1996,365000,1900,14038
2014,177000,1500,22125
2014,170000,1600,21250
2008,310000,1300,22142
2001,352001,3000,16761
2003,266000,2184,14000
2002,271000,2700,13550
2015,245000,2500,35000
2010,166921,1500,13910
2014,124491,1968,15561
2018,33000,1997,8250
2012,127345,2000,12734
2006,116000,2000,7250
2012,178000,1200,17800
2010,173000,1600,14416
2014,160000,1800,20000
1992,300000,3000,10000
2000,111111,2000,5050
2013,178968,1500,19885
2013,160000,2200,17777
2014,151200,1400,18900
2002,200000,2000,10000
2014,172026,1500,21503
2017,36000,1400,7200
2016,53587,1400,8931
2009,152000,1800,11692
1997,400000,1800,16000
2013,168700,1300,18744
2000,316000,1600,14363
2018,100000,1500,25000
2006,300000,2000,18750
2020,8000,1000,4000
2011,222000,2400,20181
2005,244800,1500,14400
1996,270000,2000,10384
2015,98000,2000,14000
2001,463480,2500,22070
2009,250000,1800,19230
2006,300000,1500,18750
2009,180000,1400,13846
2009,201000,2000,15461
2012,212000,1800,21200
2005,189000,2000,11117
2013,120000,1500,13333
1998,343341,2200,14305
2014,105000,2993,13125
2011,183000,1498,16636
2005,205000,1800,12058
2008,245000,2998,17500
2017,45000,1600,9000
2013,173000,1461,19222
2004,245627,2000,13645
2013,88000,2200,9777
2008,230000,1500,16428
2014,82000,2000,10250
2015,188000,2000,26857
2012,206000,1995,20600
2014,170000,1364,21250
2008,222222,3000,15873
2011,241816,2200,21983
2003,220000,2498,11578
2004,96001,1600,5333
2014,117000,3000,14625
2002,2222,2500,111
2015,15000,1800,2142
2012,110000,1800,11000
2004,268000,2000,14888
2018,28000,1000,7000
2013,116000,2000,12888
2007,263236,1900,17549
2010,135000,1994,11250
1993,30000,1600,1034
2016,102955,2000,17159
2013,131596,2500,14621
2008,150000,2000,10714
2017,60000,1300,12000
2018,118700,1500,29675
2010,278000,2000,23166
2000,316000,1600,14363
2007,260000,2000,17333
2010,231942,1400,19328
2011,190000,1200,17272
2012,199485,1400,19948
2015,149000,1500,21285
2013,58685,2000,6520
2011,205000,1190,18636
1992,234256,1700,7808
2009,193000,1500,14846
2011,236000,2000,21454
1999,44444,2200,1932
2007,108000,1400,7200
2001,221182,4000,10532
2004,45000,2400,2500
2000,36000,1900,1636
2007,220000,1400,14666
2011,191365,1500,17396
2011,163528,1500,14866
2014,112000,1400,14000
2008,230000,2000,16428
2017,57000,1700,11400
2007,185000,1500,12333
2008,250000,1600,17857
2014,47800,1200,5975
2014,190000,2400,23750
2008,206000,1399,14714
2017,209657,1500,41931
2005,200000,1600,11764
2013,213150,1364,23683
2017,79000,1800,15800
2009,185000,1400,14230
1990,200000,1500,6250
2005,150000,1600,8823
2006,263500,2400,16468
2017,88000,898,17600
2007,213624,1500,14241
2008,276000,3000,19714
2008,180000,1460,12857
2010,136000,2200,11333
1994,226000,2000,8071
2013,60000,2000,6666
2011,155000,1200,14090
2017,32520,1200,6504
2015,165000,2000,23571
2006,195500,1595,12218
2015,189000,1500,27000
1999,333800,2200,14513
2015,110000,1997,15714
1993,200000,2500,6896
2016,65882,2000,10980
2015,153000,1200,21857
1995,358278,3000,13269
2009,195800,4400,15061
2010,205000,1800,17083
2014,235000,1560,29375
1993,280000,1600,9655
1999,340000,2500,14782
2009,191000,1400,14692
2016,150000,2980,25000
2012,149030,1300,14903
2011,172000,1300,15636
2007,210000,1600,14000
1993,420000,3000,14482
2016,81000,1200,13500
2006,332093,2000,20755
1995,90000,1300,3333
2004,235000,2500,13055
2003,250000,2200,13157
1992,350000,2000,11666
2005,260000,4500,15294
2011,104000,2400,9454
2013,88450,1200,9827
2010,220000,2400,18333
2015,159364,1600,22766
1991,290000,2000,9354
2012,200000,1500,20000
2015,150000,1500,21428
2005,249000,1800,14647
2016,75000,1989,12500
2008,260000,1200,18571
2017,123995,1399,24799
2013,201000,1600,22333
2002,280000,1600,14000
2005,293000,2200,17235
2003,458558,1400,24134
2008,200000,2400,14285
2002,172300,1800,8615
2002,232964,2000,11648
2014,151607,1800,18950
1985,150000,2000,4054
2004,30000,1800,1666
2010,222500,2500,18541
2019,2051,4461,683
2005,162500,1600,9558
2004,250000,1500,13888
2020,30000,2000,15000
2015,250000,1460,35714
1994,350000,1300,12500
2004,249000,1800,13833
2016,72935,2000,12155
2014,140000,2200,17500
2006,252000,1600,15750
1997,155000,1200,6200
2014,172000,1300,21500
2014,198000,1500,24750
2002,350000,1600,17500
2012,211073,2400,21107
2008,37000,1300,2642
2012,231000,3000,23100
2014,145101,2000,18137
1992,412000,1800,13733
2016,135000,2500,22500
2018,127000,1800,31750
2004,350000,1600,19444
2015,136000,2200,19428
2010,164500,1500,13708
2009,187000,1500,14384
1993,255000,1600,8793
2008,173000,1500,12357
2000,230000,1800,10454
2017,149000,1500,29800
2018,29000,3490,7250
2005,187000,1600,11000
2006,236547,2000,14784
2012,162000,1600,16200
2016,67000,3500,11166
2006,200000,2000,12500
2015,110000,2200,15714
2003,470000,3000,24736
2017,134000,2000,26800
2011,226161,1800,20560
2016,155000,1600,25833
2012,116000,1998,11600
2014,168553,1500,21069
2006,123456,2000,7716
2013,170000,1800,18888
2007,172300,1400,11486
2006,191840,1800,11990
2006,190000,2000,11875
2004,231549,2000,12863
2017,148500,2500,29700
2009,192712,1400,14824
2017,93000,2000,18600
2006,27000,2500,1687
2016,58552,1600,9758
2016,95000,2000,15833
2018,107783,1600,26945
2007,278100,2200,18540
2006,19586,1600,1224
2004,180000,1200,10000
2015,120000,1400,17142
2011,240000,1800,21818
2014,228800,1200,28600
2011,155741,1200,14158
2011,146500,2000,13318
2010,212000,2000,17666
2017,63460,1798,12692
2016,135000,2200,22500
1997,111111,1800,4444
2017,70140,1500,14028
2006,283590,3000,17724
2015,52000,1400,7428
2016,126000,2000,21000
1993,258632,1300,8918
2010,76785,3000,6398
2016,173523,1500,28920
2015,144165,1800,20595
2015,262500,1600,37500
2011,68800,1800,6254
2009,172000,1300,13230
2008,215800,1390,15414
2017,65000,4000,13000
2011,62000,2000,5636
2006,170000,2000,10625
2013,118201,2000,13133
2001,220000,2000,10476
2017,73792,2500,14758
2009,114250,1400,8788
2014,112580,1200,14072
2003,240000,2000,12631
2006,235000,1500,14687
2015,184500,1499,26357
1991,300000,1600,9677
2015,215000,1500,30714
2016,60000,1800,10000
2009,250000,2900,19230
2001,156000,1800,7428
2010,198000,1500,16500
1989,10000,1600,303
2007,220000,2200,14666
2011,216000,1200,19636
2013,220000,1300,24444
2014,144000,2200,18000
2008,125000,1300,8928
2010,310000,1900,25833
2015,222000,2000,31714
1998,400000,1800,16666
2008,105412,2200,7529
2012,170000,1500,17000
2007,205694,1397,13712
2015,47500,2000,6785
2003,270000,1600,14210
2015,113000,1500,16142
2015,280000,2000,40000
2007,190000,1991,12666
2012,125000,2000,12500
1999,380000,2200,16521
2003,285500,2000,15026
2016,166354,1995,27725
2012,121000,1600,12100
2016,184919,1600,30819
2015,203000,1500,29000
2013,172000,1400,19111
2011,153000,1753,13909
2015,93000,1200,13285
2014,103000,1600,12875
2013,201000,2000,22333
2003,256020,2200,13474
2015,170000,1400,24285
2012,75000,2400,7500
2018,180000,1500,45000
2000,210000,1000,9545
2007,320000,1800,21333
2009,122000,1400,9384
2007,300653,3000,20043
2013,171000,1368,19000
2014,180000,1600,22500
2018,35000,1400,8750
2001,300010,2800,14286
2011,167139,2199,15194
1998,294278,3000,12261
2016,92000,1500,15333
2012,155048,1400,15504
2012,165000,1500,16500
2004,230000,998,12777
2009,149375,3000,11490
2018,49000,3000,12250
2011,172000,4500,15636
2016,160000,1500,26666
2000,160254,2000,7284
2002,281632,1900,14081
2016,56000,2500,9333
2005,163000,2400,9588
1996,111111,1600,4273
2012,156000,1500,15600
2010,179252,1400,14937
2017,20000,2000,4000
2013,147800,1800,16422
2016,57000,1000,9500
2011,148000,2000,13454
2017,150822,1500,30164
2001,300000,3500,14285
2009,160000,1400,12307
2008,253120,2000,18080
2012,176000,1400,17600
2014,76293,1500,9536
2014,121355,2000,15169
2016,40000,2000,6666
2013,251801,2200,27977
2018,192000,1300,48000
2009,222222,1600,17094
2005,280000,1400,16470
2003,340000,3200,17894
2007,165325,1100,11021
2016,200000,2000,33333
2013,213000,1400,23666
1998,171000,2200,7125
2015,170222,2200,24317
2010,241828,1400,20152
1998,340000,2000,14166
2012,25366,2000,2536
2015,177000,1600,25285
2003,222222,2000,11695
2019,12150,1798,4050
2012,133000,1500,13300
2007,235000,2500,15666
2013,124921,1993,13880
2013,148000,2000,16444
1998,267000,2000,11125
2011,100595,1200,9145
2011,192000,1500,17454
2014,204000,1600,25500
2011,156734,3000,14248
2014,169000,1793,21125
2011,175099,2000,15918
2009,223777,1500,17213
2012,150000,1600,15000
2008,235000,2200,16785
1997,210700,1400,8428
2005,1999,2000,117
2014,104768,3000,13096
2004,220000,1800,12222
2005,250632,2000,14743
2014,212000,1600,26500
2012,151000,2000,15100
2013,191000,1500,21222
1998,300000,2500,12500
2017,160152,1995,32030
2011,217082,2400,19734
2006,300000,2000,18750
1990,255555,1600,7986
2019,26000,1400,8666
2013,164000,1955,18222
2009,310000,2987,23846
2011,160000,1400,14545
2010,210635,1500,17552
2004,240000,1500,13333
2011,21700,1300,1972
2016,25499,2000,4249
1993,20165,1800,695
2009,215000,1997,16538
2013,35000,1400,3888
2004,316150,3000,17563
2002,243000,2200,12150
2007,238011,2200,15867
2013,200320,1395,22257
2013,159000,1800,17666
2004,140000,1500,7777
2008,213110,1400,15222
1996,12345,1600,474
2012,235000,1996,23500
2014,185000,1500,23125
2005,250000,2500,14705
2005,210190,3000,12364
1990,350000,2000,10937
1994,400000,1984,14285
2011,244000,1600,22181
2015,102000,1999,14571
1989,24000,1500,727
2003,253000,1900,13315
2015,151000,1600,21571
1992,123321,1600,4110
2005,290000,3000,17058
2015,120000,2200,17142
2015,143767,4134,20538
2011,230000,2000,20909
2001,280000,2500,13333
2010,150000,3000,12500
2018,37000,3500,9250
1986,10000,1800,277
2013,116425,1400,12936
2016,50000,1950,8333
2006,167000,2000,10437
2002,179000,1600,8950
2006,111200,1300,6950
2000,245783,2900,11171
2005,254000,1400,14941
2012,173000,2000,17300
2008,200000,1595,14285
2004,185000,2700,10277
2007,347121,3000,23141
2016,146000,1500,24333
2017,145000,2000,29000
2007,130000,2000,8666
2014,264000,2200,33000
2012,198000,1500,19800
2013,56000,1400,6222
2011,220000,1600,20000
2007,139800,1499,9320
2013,185000,1500,20555
2015,199000,2000,28428
1996,302000,2000,11615
1993,265000,1399,9137
2018,33000,1800,8250
2012,176523,1300,17652
1995,140300,1600,5196
2016,126000,2000,21000
2011,25000,1700,2272
1996,256000,1800,9846
2012,17300,1400,1730
2002,125000,4500,6250
2007,230110,1900,15340
2017,45000,1600,9000
2011,190000,2000,17272
2018,74800,2900,18700
2008,61900,1300,4421
2008,190000,2400,13571
2007,215000,1600,14333
2013,187000,1400,20777
2010,93000,1400,7750
1998,123456,2200,5144
2016,50000,1950,8333
2005,290000,1500,17058
2015,206000,1400,29428
2018,33000,1800,8250
2014,217000,2987,27125
2009,139200,1794,10707
2007,123000,1000,8200
1995,285000,2000,10555
1989,123456,2559,3741
2008,200000,2200,14285
2008,273000,1900,19500
2007,195000,3000,13000
1993,257000,1800,8862
2018,161300,1500,40325
2007,300000,2002,20000
2018,135320,1500,33830
2015,193000,2000,27571
2017,88000,4500,17600
2015,173000,1500,24714
2010,187000,1400,15583
2007,250000,1400,16666
2014,174221,2000,21777
2008,158000,3000,11285
2008,300000,2200,21428
2018,27000,3000,6750
2000,45000,2000,2045
2016,43604,2000,7267
2010,123000,1600,10250
2013,123460,2200,13717
2014,174000,2000,21750
2002,22252,1900,1112
1996,224095,1265,8619
2015,82628,2000,11804
2010,182000,2200,15166
2007,196000,2997,13066
2014,225346,2200,28168
2008,268507,1800,19179
2011,153500,1500,13954
2007,231507,1600,15433
2006,330000,2200,20625
2010,200000,1199,16666
2011,240000,1400,21818
2014,148500,1500,18562
2006,350000,2200,21875
2008,230000,2000,16428
2005,270000,1901,15882
2016,46400,1000,7733
2009,160026,1400,12309
2007,275000,2200,18333
2016,113000,1600,18833
2012,157000,1500,15700
2007,245000,1800,16333
2009,208000,1400,16000
2007,153000,1600,10200
2005,254000,1500,14941
2011,164367,1199,14942
1998,350000,1998,14583
2015,172758,1600,24679
1991,111111,1300,3584
2017,157000,1998,31400
2008,224000,2000,16000
2011,125000,1400,11363
2014,174000,2000,21750
2017,203000,1997,40600
2013,180600,1800,20066
2006,300000,4500,18750
2014,170000,2400,21250
2007,253500,2499,16900
2011,182000,1200,16545
2006,330000,1461,20625
2011,77600,1400,7054
2010,240000,1461,20000
2003,319000,1800,16789
2007,186000,2700,12400
2005,123486,2400,7263
2004,280704,1896,15594
2014,260000,1500,32500
1999,280000,1399,12173
2013,85000,1400,9444
2014,47800,1200,5975
2013,150000,1800,16666
2009,242000,3200,18615
2017,158000,1422,31600
2009,123000,1500,9461
1998,264257,1800,11010
2008,287000,1900,20500
1999,333000,2500,14478
2001,240000,1996,11428
2018,45701,1500,11425
2015,169265,1800,24180
2009,230000,1400,17692
2000,265000,2000,12045
2008,278542,1592,19895
2014,184689,1600,23086
2010,190000,1400,15833
2009,171000,2200,13153
2005,270300,2000,15900
2019,25000,1400,8333
2003,12345,1800,649
2005,272555,1900,16032
1995,385000,2000,14259
1995,300000,2000,11111
2005,270000,2700,15882
2014,136000,3000,17000
2011,197000,1200,17909
2016,51000,3000,8500
2011,205000,1400,18636
2015,156000,1600,22285
2010,85000,1400,7083
1996,150000,2000,5769
2014,25000,2000,3125
2003,240000,1400,12631
2014,166100,1500,20762
2016,67000,2000,11166
2006,197600,2190,12350
2013,215000,1986,23888
2014,160000,1600,20000
2017,120000,1500,24000
2018,38000,2000,9500
2005,153126,1229,9007
2010,183000,2200,15250
2008,177600,1500,12685
2015,43000,3000,6142
2016,84100,1496,14016
2011,195500,1200,17772
2018,90000,2199,22500
2009,235641,1500,18126
2007,185000,2993,12333
2018,7000,2000,1750
2012,94000,2000,9400
2013,172138,2200,19126
2016,137000,1500,22833
2003,222222,2200,11695
2014,67000,2500,8375
2016,162000,1500,27000
2009,235258,1500,18096
2004,199000,2700,11055
2009,187000,1400,14384
2013,180000,3000,20000
2008,170000,2000,12142
2007,177000,2200,11800
2006,200000,1600,12500
2016,88065,1500,14677
2016,170500,1400,28416
2011,166000,1300,15090
1995,100000,2400,3703
2017,113600,2000,22720
2004,270000,1500,15000
2013,144212,1200,16023
2013,231308,1500,25700
2018,112064,2500,28016
2012,180000,1500,18000
2004,218855,2500,12158
2006,167000,1400,10437
2013,245000,1500,27222
2013,111123,1400,12347
2010,300000,1499,25000
2008,300088,3000,21434
1993,63715,1600,2197
2018,51000,3000,12750
2008,140038,1000,10002
2000,165000,2500,7500
2007,320000,2200,21333
2015,62000,2000,8857
2015,157500,1500,22500
2012,93000,2500,9300
2019,30000,2000,10000
2012,125800,1800,12580
2008,17800,1600,1271
2015,174360,3000,24908
2004,200000,1500,11111
1993,30000,1600,1034
2016,63000,1461,10500
2012,200000,1500,20000
2001,206500,2000,9833
2017,141000,2500,28200
1993,300000,1332,10344
1992,79000,2500,2633
2013,150400,1390,16711
2012,199000,2000,19900
2011,217657,2400,19787
2010,202020,1400,16835
2013,189000,1800,21000
2012,123000,3000,12300
2008,600000,1500,42857
1996,456258,2000,17548
2014,200200,2000,25025
2008,125000,1200,8928
2011,195000,1500,17727
2010,263000,2000,21916
2011,141159,1800,12832
2008,72900,5000,5207
2012,210000,1500,21000
2008,230000,1900,16428
2016,174182,1500,29030
2008,310000,2200,22142
2016,60000,3000,10000
2013,189409,1500,21045
2015,28000,2000,4000
2003,250000,1922,13157
2016,50000,1500,8333
1994,123456,1800,4409
2003,20000,1400,1052
2000,335000,2500,15227
2016,136000,2000,22666
2020,30000,1999,15000
2014,153000,1461,19125
2018,36824,2000,9206
2015,120000,1500,17142
1991,72000,1800,2322
2011,164000,1300,14909
2009,146000,1400,11230
2006,280000,1900,17500
2016,125000,1500,20833
2009,280000,3000,21538
2012,67000,2800,6700
2017,45000,1600,9000
2004,187000,3000,10388
2015,157500,1500,22500
2017,145000,2000,29000
2017,98000,2199,19600
2012,118000,3500,11800
2000,200000,2200,9090
2008,178000,2200,12714
2008,140000,1100,10000
1997,500000,1400,20000
2007,225000,1600,15000
2012,131000,1500,13100
2006,152807,1400,9550
2000,324840,1796,14765
2009,210000,1500,16153
2006,111111,3000,6944
2011,154258,1200,14023
2013,130600,2500,14511
2013,191824,2400,21313
2007,241000,2000,16066
2016,184112,1500,30685
2015,158000,1500,22571
2007,281582,1400,18772
2003,220000,1497,11578
2016,117500,1500,19583
2003,270000,1300,14210
2015,155000,1500,22142
2009,250000,1300,19230
2011,211000,1700,19181
2013,177000,1400,19666
2019,4000,1498,1333
2016,183000,1500,30500
2000,275000,2000,12500
2003,372045,2700,19581
2018,118700,1500,29675
2020,1120,2000,560
2013,187000,3500,20777
1994,200000,1800,7142
1989,98026,1600,2970
2021,15000,1999,15000
2002,200000,3000,10000
2018,69940,2000,17485
2018,154350,1800,38587
2012,230000,2499,23000
2010,198000,1800,16500
2012,221365,2000,22136
2001,250000,2900,11904
2005,150000,3300,8823
1988,230000,1800,6764
2012,244000,3000,24400
2012,89384,2000,8938
2013,171000,1390,19000
2007,523000,1400,34866
2015,98000,1800,14000
2015,126000,1600,18000
2004,234000,1800,13000
2005,222111,2500,13065
2017,129000,1500,25800
1993,20000,1598,689
2002,321000,2500,16050
2006,243000,1800,15187
2011,111330,1390,10120
2012,160000,2500,16000
2008,279050,1500,19932
2017,160106,1600,32021
2003,330000,2500,17368
2013,170699,1800,18966
2001,270000,3300,12857
2001,331000,1400,15761
2012,226000,1500,22600
2006,161000,1400,10062
2013,100000,2200,11111
2002,280000,2000,14000
2017,119000,1800,23800
2015,170000,2500,24285
1997,87765,1600,3510
2015,162000,1500,23142
2012,202000,1248,20200
2012,145000,1200,14500
2008,245191,2200,17513
2016,110000,1600,18333
2015,225000,1461,32142
2008,222222,1600,15873
2010,213452,1400,17787
2001,143000,1800,6809
2012,188229,1800,18822
2011,291000,1500,26454
2001,193000,3000,9190
1986,450000,1300,12500
2006,230000,1900,14375
2019,2963,2000,987
1994,300000,1500,10714
2008,190000,1800,13571
2012,223000,1500,22300
2009,139200,1794,10707
2005,250000,3000,14705
2010,132500,3500,11041
2014,75000,2400,9375
2008,247000,1800,17642
2012,120000,1400,12000
2006,224707,2000,14044
2009,192000,1900,14769
2011,192000,1200,17454
2009,216000,1400,16615
2004,300000,1500,16666
2011,145000,1500,13181
2003,223000,2000,11736
2005,158000,1400,9294
2004,199000,2000,11055
2016,159000,1600,26500
1992,250000,2000,8333
2013,164000,2200,18222
2015,152000,2000,21714
2012,166000,2400,16600
2017,13000,1400,2600
2016,204000,1400,34000
2001,350113,4000,16672
2017,37000,1600,7400
2007,113200,1400,7546
2018,33400,1800,8350
2007,300000,2200,20000
2007,189000,3000,12600
2015,123000,2000,17571
2015,130000,2500,18571
2011,143500,1800,13045
2010,188000,1400,15666
2007,26000,1461,1733
2007,140000,1340,9333
2017,147477,1500,29495
2009,251382,1461,19337
2012,190000,1500,19000
2012,20000,2000,2000
2004,260300,1800,14461
2004,200180,1500,11121
2013,256000,3000,28444
2013,200000,1998,22222
2007,138000,1332,9200
2013,148989,1200,16554
2006,360000,1300,22500
2006,152731,3300,9545
1995,228000,1400,8444
2003,340000,2500,17894
2018,19300,1500,4825
2020,6000,2000,3000
2004,265400,2200,14744
2016,50000,1950,8333
2008,302854,3000,21632
2013,187000,1500,20777
2010,299000,2200,24916
2002,248000,2500,12400
2016,145700,1700,24283
2008,178000,2000,12714
2013,113000,898,12555
2011,322000,3000,29272
2006,200000,1400,12500
2013,236000,2993,26222
2018,121000,1600,30250
2006,215928,1400,13495
2014,142078,1800,17759
2012,102000,2000,10200
2005,280000,2200,16470
2016,250001,1600,41666
2010,180000,1346,15000
2018,110000,2000,27500
2010,183000,2200,15250
2001,11111,3000,529
2002,270000,1860,13500
2004,350000,1900,19444
2017,140000,2000,28000
2010,175000,1500,14583
2013,174000,1300,19333
2018,61150,1798,15287
2006,189000,1400,11812
2002,140000,4000,7000
1998,100000,5000,4166
2018,107000,1598,26750
2001,280521,2500,13358
1996,320000,1999,12307
2012,150200,1200,15020
2012,190000,1500,19000
1992,282300,2965,9410
2014,132000,1500,16500
2011,98000,1300,8909
2010,20022,1600,1668
2009,150000,1500,11538
2010,222222,2222,18518
2000,300000,2000,13636
2016,127400,2000,21233
2007,186000,2700,12400
2015,96000,1200,13714
2011,81000,1600,7363
2011,193000,1200,17545
1999,430000,1781,18695
2014,175000,2000,21875
2013,170000,1400,18888
2015,111111,2000,15873
2017,70000,2000,14000
2004,220000,3300,12222
2014,270000,1800,33750
2006,285000,1600,17812
2001,11111,2500,529
2017,145000,2000,29000
2016,141900,1500,23650
2005,178000,1400,10470
1996,294000,1997,11307
1999,178400,1600,7756
2011,126200,1200,11472
2003,445000,1989,23421
2005,233333,1400,13725
2015,145700,1500,20814
2006,89000,4400,5562
1990,270000,1800,8437
2013,100000,2500,11111
1989,358877,1300,10875
2014,68000,1999,8500
2018,33000,1800,8250
2006,190000,1500,11875
2016,170000,1400,28333
2009,200000,1900,15384
2011,147000,1800,13363
2006,400000,1500,25000
2005,250000,3000,14705
2014,159752,1500,19969
1997,300000,2000,12000
2001,224580,2000,10694
2006,255000,2230,15937
2012,78000,1200,7800
2017,171000,2000,34200
2011,193000,1200,17545
2013,220000,2000,24444
2018,132000,1500,33000
1995,300000,2400,11111
2010,172000,1400,14333
2008,44444,2000,3174
1998,20000,1900,833
1996,3000,1800,115
2006,198000,4000,12375
2010,174897,1364,14574
2015,196000,1000,28000
2013,163000,2199,18111
2017,187000,1700,37400
2015,160100,1500,22871
2004,177500,1500,9861
2005,220000,1600,12941
2013,210000,2000,23333
2008,240000,1364,17142
2010,290000,1600,24166
2008,125000,1900,8928
2004,207000,1800,11500
2010,189000,2000,15750
1992,340000,2000,11333
1998,327000,1900,13625
2010,188800,1440,15733
2015,250000,1461,35714
2016,110119,1999,18353
2007,115000,1400,7666
2016,166000,2400,27666
2005,222222,2000,13071
1996,144000,1800,5538
2008,220000,1500,15714
2013,134900,1800,14988
2016,39192,2000,6532
2007,98000,1400,6533
1993,11111,2000,383
2018,115000,1500,28750
2017,70000,2000,14000
2004,198888,1600,11049
2016,131000,1500,21833
2011,187000,1400,17000
2007,134000,2000,8933
2015,180000,2000,25714
1994,250000,3200,8928
2006,250000,2500,15625
2014,145586,2000,18198
2016,200000,1400,33333
2010,234000,1800,19500
2018,33000,1800,8250
2005,210000,2000,12352
2010,200000,2200,16666
2017,50320,1998,10064
2001,123456,2200,5878
2007,22222,1300,1481
2017,131000,1600,26200
2014,140000,2200,17500
2008,187000,2400,13357
2012,191000,1500,19100
2017,41000,999,8200
2015,168862,1800,24123
2007,305000,2200,20333
2018,78000,1986,19500
2012,219411,1500,21941
2004,218000,1499,12111
2013,212000,1400,23555
2017,52000,2000,10400
2014,176727,2000,22090
2004,236778,1800,13154
2004,290000,2000,16111
1993,158325,1800,5459
2018,58100,1600,14525
2007,298153,2000,19876
2009,264710,1598,20362
2007,215000,4000,14333
1994,186000,1600,6642
2012,162200,1200,16220
2007,226000,1400,15066
2001,27000,1200,1285
2015,165000,2000,23571
2005,291000,1600,17117
2010,238000,2998,19833
2008,330000,1400,23571
2015,144785,1400,20683
2000,119119,1600,5414
2016,97000,3000,16166
2011,262000,2200,23818
2015,90000,2000,12857
2002,246433,1400,12321
2012,108000,1600,10800
2015,120000,3000,17142
2009,97886,2000,7529
2004,199000,1400,11055
2015,170000,2000,24285
1991,200000,2000,6451
2010,132662,998,11055
2015,56895,2000,8127
2004,209405,1400,11633
2017,59661,1500,11932
2017,44000,1500,8800
2010,197000,2000,16416
2010,156000,1800,13000
2003,12345,1900,649
2016,80000,2000,13333
2008,134600,1591,9614
2016,33333,2000,5555
2004,190000,1300,10555
2004,220000,3000,12222
2005,310000,1198,18235
2010,198000,1390,16500
2017,176000,2000,35200
2013,127000,1500,14111
2002,11111,1500,555
2009,230000,1800,17692
2008,262000,1500,18714
